Indikator,Target 2025,Capaian,Satuan,Persentase Capaian
Penanganan Lahan Kritis,80174.99,39162.58,hektar,48.84%
Penanganan Air  Limbah Domestik,648603,479907,KK,74%
Pengelolaan Sampah,6636.06,3885.45,ton/hari,50.98%
Penanganan Limbah Industri,1813,1395,Industri,88.64%
Penanganan Limbah  Peternakan,53052,34038,ekor,64.16%
Penanganan Keramba Jaring  Apung,141219,26789,unit,18.96%
Pengelolaan  Sumber Daya Air  dan Pariwisata,,,persen,
Pengendalian Pemanfaatan  Ruang,127363.2,46055.61,hektar,36.16
Penegakan Hukum,455,1034,kasus,227.25%
Edukasi dan  Pengembangan  Masyarakat,1454,1268,desa,87.20%
Riset dan  Pengembangan,12,20,kajian,166.67%
"Pengolahan Data,  Hubungan  Masyarakat",363,516,titik,142.15%
